Req-ID;Kategorie;Titel;Spezifikation;Zielwert / Akzeptanzkriterium;Verifikationsmethode;Klassifizierung;Prioritaet
A-01;Sensorik & Erfassung;Analoge Eingangserfassung;Erfassung eines kontinuierlichen Analogsignals ueber 10-Bit-ADC (0..1023 Digits = 0..5V) an Analogeingang A0.;Linearitaetsfehler <= +-2 LSB;Kalibrierte DC-Spannungsquelle & Digitalmultimeter (DMM);Festforderung (F);Hoch
A-02;Signalverarbeitung;Rauschunterdrueckung & Glaettung;Berechnung des gleitenden arithmetischen Mittelwerts ueber exakt N=10 aufeinanderfolgende Samples.;Abtastintervall dt=50ms +- 2ms (20 Hz Abtastrate);Signalvergleich Roh- vs. Filterwert im Serial Plotter;Festforderung (F);Hoch
A-03;Systemskalierung;Erweiterbarkeit der Eingangskanaele;Hard- und Softwarearchitektur ausgelegt fuer modulare Erweiterung auf bis zu 6 Analogkanaele (A0-A5).;Architektur unterstuetzt A0..A5;Funktionstest mit bis zu 6 analogen Signalgebern;Wunschforderung (W);Mittel
A-04;Kommunikation;Zyklische Bus-Datenuebertragung;Zyklische Uebertragung des gemittelten Werts via UART-Bus (Serial1) mit Framing <VAL:xxxx;RAW:xxxx>.;Uebertragungsrate f_bus >= 10 Hz (Intervall <= 100ms), 9600 Baud 8N1;Logikanalysator / Serial-Monitor-Trace mit Zeitstempeln;Festforderung (F);Hoch
A-05;Systemrobustheit;Bus-Timeout & Verbindungsueberwachung;Automatische Erkennung eines Signal- oder Telegrammausfalls mit LCD-Warnmeldung und Auto-Recovery.;Fehlermeldung auf LCD bei Telegrammausfall > 2.0 s;Unterbrechung der RX/TX-Signalleitung im laufenden Betrieb;Festforderung (F);Hoch
A-06;HMI / Display;LC-Display Ansteuerung via I2C;Anbindung eines HD44780-kompatiblen LC-Displays (20 Zeichen x 4 Zeilen) ueber I2C-Backpack (PCF8574).;I2C-Busfrequenz 100 kHz, Adresse 0x27 / 0x3F;I2C-Bus-Scan / Hardwaretest mit Oszilloskop;Festforderung (F);Hoch
A-07;HMI / Format;Binaere Messwertdarstellung;Formatierte 10-Bit-Binaerausgabe mit fuehrenden Nullen und 4-Bit-Nibble-Strukturierung (BIN: bb bbbb bbbb).;Formatierung BIN: bb bbbb bbbb auf Zeile 1;Sichtpruefung der LCD-Anzeige ueber gesamten Stellbereich (0..1023);Festforderung (F);Mittel
A-08;HMI / Bedienung;Messwert-Aktualisierung (Hold-Trigger);Aktualisierung des Anzeigewerts ausschliesslich bei Betaetigung des Tasters (Hold-Funktion).;Software-Entprellzeit t_deb >= 50 ms;Prellpruefung / Funktionstest mit Oszilloskop am Tastereingang;Festforderung (F);Hoch
A-09;Systemdynamik;Reaktionszeit HMI-Aktualisierung;Latenzzeit zwischen Tasterbetaetigung (fallende Flanke) und vollstaendiger LCD-Aktualisierung.;Latenz t_lat <= 100 ms;2-Kanal-Oszilloskop (Trigger Flanke Taster -> I2C Paket);Festforderung (F);Mittel
A-10;Systemstart;Definiertes Initialisierungsverhalten;Nach Kaltstart (Power-On): Boot-Screen (2s), Ringpuffer-Vorbefuellung, definierter Wartezustand.;Boot-Screen 2s, MOD: WAIT TASTE;Einschaltpruefung / Kaltstart-Zyklus mit Netztrennung;Festforderung (F);Mittel
A-11;Logik & Alarm;Plausibilitaets- & Grenzwertueberwachung;Optischer Alarm auf dem LCD bei relativem Sprung >= 70% mit Nullpunktsschutz (|Delta| >= 50 Digits).;Alarm bei |Wert_k - Wert_k-1| >= 0.70 * Wert_k-1;Sprungantwort-Test mit Signalgenerator / Poti-Sprung;Festforderung (F);Hoch
A-12;Logik & Alarm;Alarm-Ruecksetzung / Quittierung;Der optische Alarmzustand bleibt aktiv, bis ein neuer Messwert innerhalb der Toleranz uebernommen wird.;Alarm-Ruecksetzung bei gueltigem neuem Tastendruck;Stufentest mit Rueckkehr in den Nennbereich;Festforderung (F);Hoch
A-13;Datenspeicher;Direkter Datenzugriff im Speicher;Strukturierte Vorhaltung von aktuellem Messwert, Vorgaengerwert, Puffer und Flags im SRAM.;Vorhaltung im fluechtigen SRAM;Code-Review & RAM-Belegungsanalyse via Compiler;Festforderung (F);Hoch
A-14;Elektrik & Schutz;Betriebsspannung & Schutzbeschaltung;Versorgungsspannung +5.0V DC +- 5%, zwingendes gemeinsames Bezugspotenzial (GND) und Pull-Ups.;+5.0V DC +- 5%, GND-Kopplung zwingend;DMM-Spannungsmessung & Verifikationspruefung;Festforderung (F);Hoch
A-15;Umgebungsbed.;Betriebsumgebung & Laborbetrieb;Betriebsbereich: +10 C bis +40 C, relative Luftfeuchtigkeit 20%..80% (nicht kondensierend), IP20.;Laborbetriebsbereich 10..40 C, IP20;Sicht- und Funktionspruefung unter Laborbedingungen;Festforderung (F);Niedrig
